,Model,Optimizer,LR,Dropout,F1,Accuracy,Recall,Precision
0,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.1,0.34841328486161405,0.5486,0.4079134275435033,0.333213521246922
1,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.25,0.3251769720539232,0.5122,0.3633225757722018,0.3156304000663042
2,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.5,0.23114515631669477,0.4666,0.26418979246826935,0.2507602589818684
3,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.75,0.15268667794321253,0.339,0.20084781327592874,0.20768854717546087
4,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,1.0,0.1057994007533987,0.2298,0.18059056464745668,0.19775048464442405
5,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.1,0.3878807291734052,0.5556,0.44748516722610604,0.36809276936786695
6,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.25,0.38659430928059935,0.5508,0.4404319496072014,0.36778687590960735
7,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.5,0.31160363508567734,0.5806,0.3382390634001341,0.3127946339280118
8,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.75,0.1030074335756392,0.116,0.1918536939443574,0.30824269871072413
9,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,1.0,0.10400255355709205,0.2236,0.17967668904937056,0.20097563559090678
10,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.1,0.3913844540727879,0.5536,0.4548760874886191,0.37177671385128513
11,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.25,0.3937877632260419,0.5616,0.4461529964193559,0.3751351387204296
12,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.5,0.29640887304727304,0.5808,0.33988795674136274,0.30289973157817085
13,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.75,0.046357100614196324,0.0794,0.2058518970275637,0.06396355694856064
14,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,1.0,0.10252871215778347,0.2184,0.18188243067616483,0.2028208393456709
15,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.1,0.3995948009874356,0.5792,0.4464639764283261,0.382727554338965
16,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.25,0.381680885716849,0.5834,0.4297476757556723,0.3619112738274989
17,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.5,0.31137830257342314,0.5648,0.36362842049272537,0.2978084058586735
18,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.75,0.017810051595643035,0.0466,0.2,0.00932
19,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,1.0,0.09764683437126018,0.2034,0.1802173589058299,0.20272972816976037
20,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.1,0.015384615384615385,0.04,0.2,0.008
21,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.25,0.015384615384615385,0.04,0.2,0.008
22,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.5,0.015384615384615385,0.04,0.2,0.008
23,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.75,0.05718203633870415,0.1668,0.2,0.03336
24,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,1.0,0.10343043980780417,0.2212,0.18271975125032752,0.20460243562808325
25,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.1,0.015384615384615385,0.04,0.2,0.008
26,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.25,0.015384615384615385,0.04,0.2,0.008
27,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.5,0.015384615384615385,0.04,0.2,0.008
28,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.75,0.015384615384615385,0.04,0.2,0.008
29,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,1.0,0.12115498785239694,0.2724,0.18913730980505078,0.1989434855448833
30,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.1,0.37644334590584294,0.5382,0.4441884985053841,0.3597592378308275
31,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.25,0.37377958763369423,0.5158,0.43866972266787885,0.3604936803990838
32,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.5,0.26907299002572194,0.4928,0.320835782997122,0.3046768708527147
33,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.75,0.1865389770851223,0.5018,0.2168980926684993,0.2201659660800904
34,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,1.0,0.10727709752963133,0.2348,0.1802053971833419,0.19824926325138267
35,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.1,0.38299266803708176,0.531,0.46123312854427956,0.36576037154469604
36,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.25,0.370481617943062,0.5164,0.4400891762906027,0.3568719593189672
37,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.5,0.34579982123499214,0.5618,0.3686188528157746,0.35619345188454393
38,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.75,0.18996707550346864,0.4594,0.21680001449449904,0.20818132273225406
39,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,1.0,0.10819819318796983,0.2378,0.18110252636994476,0.19910182837622187
40,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.1,0.39505710242622155,0.5434,0.4718844396016011,0.37414217489003826
41,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.25,0.3876912424212454,0.5308,0.4610048808735689,0.37043984288522935
42,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.5,0.35906464290602724,0.5642,0.380571614641562,0.35593637591783
43,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.75,0.18968429903285747,0.436,0.23135783927079437,0.2410755529273582
44,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,1.0,0.11005341319202841,0.2436,0.18283697613071032,0.20067721753014692
45,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.1,0.4091296379872311,0.553,0.4829813150172198,0.3884605959917214
46,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.25,0.3919678812081323,0.5328,0.46558575081424686,0.3737087836216311
47,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.5,0.379096230270899,0.547,0.4119269466852039,0.37144231902476815
48,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.75,0.055901348483215776,0.0626,0.19370243903071435,0.04905800686519316
49,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,1.0,0.11223437877390849,0.2506,0.18493027756611702,0.19949368862525668
50,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.1,0.3792805154515716,0.538,0.4378718249131743,0.36432831396699594
51,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.25,0.3625995684695543,0.5276,0.41657771695887097,0.3530605694051877
52,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.5,0.288596287155836,0.5202,0.35063293567484666,0.29479989533447604
53,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.75,0.015384615384615385,0.04,0.2,0.008
54,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,1.0,0.1213452772599612,0.278,0.18829723843217896,0.19645813296426726
55,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.1,0.015384615384615385,0.04,0.2,0.008
56,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.25,0.16030680728667304,0.6688,0.2,0.13376
57,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.5,0.015384615384615385,0.04,0.2,0.008
58,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.75,0.015384615384615385,0.04,0.2,0.008
59,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,1.0,0.13524228807938266,0.322,0.1917928323876366,0.1964138509507066
