,Model,Optimizer,LR,Dropout,F1,Accuracy,Recall,Precision
0,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.1,0.6987241816199653,0.8364,0.8447421435559536,0.6653628877619268
1,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.25,0.6626822540391436,0.8074,0.8096263174464092,0.6399198377701563
2,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.5,0.46467165881702066,0.553,0.6558794920940274,0.553
3,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.75,0.09567974188887163,0.102,0.4997456517268624,0.4978585493603382
4,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,1.0,0.04992481203007519,0.1328,0.029309203266387113,0.16831432192648924
5,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.1,0.7427881327564311,0.8734,0.8661128101648958,0.6993360963531419
6,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.25,0.7312888779936518,0.8682,0.8479517317093945,0.6903463355915065
7,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.5,0.6394065929250488,0.7742,0.8161574916977994,0.6292678693881697
8,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.75,0.08670087587544674,0.0946,0.5004414036636504,0.546937550040032
9,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,1.0,0.090814332247557,0.2788,0.061531670712866915,0.1732753262896209
10,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.1,0.7366834572043286,0.8686,0.8634643881829933,0.6942626843088018
11,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.25,0.7427213313103717,0.879,0.8462647038477882,0.7008074587046602
12,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.5,0.7165642298493686,0.8696,0.801892577030351,0.6806856175280963
13,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.75,0.08599241611791239,0.094,0.5001103509159126,0.5469093818763753
14,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,1.0,0.1277754385964912,0.4552,0.10046347384683292,0.17548188126445644
15,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.1,0.7349141772451632,0.8696,0.8544586711114478,0.6931424845336214
16,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.25,0.7500947916307608,0.884,0.8509349710758249,0.7073626409376818
17,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.5,0.7521070019502096,0.888,0.8426287705778577,0.7105697649836209
18,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.75,0.08575607972206985,0.0938,0.5,0.0469
19,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,1.0,0.18180622533976326,0.8294,0.18305009931582433,0.18057914217287177
20,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.1,0.08575607972206985,0.0938,0.5,0.0469
21,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.25,0.08575607972206985,0.0938,0.5,0.0469
22,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.5,0.08575607972206985,0.0938,0.5,0.0469
23,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.75,0.47539607596264816,0.9062,0.5,0.4531
24,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,1.0,0.47506561679790027,0.905,0.49933789450452437,0.45304365238285943
25,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.1,0.08575607972206985,0.0938,0.5,0.0469
26,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.25,0.47539607596264816,0.9062,0.5,0.4531
27,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.5,0.47539607596264816,0.9062,0.5,0.4531
28,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.75,0.08575607972206985,0.0938,0.5,0.0469
29,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,1.0,0.4750104997900042,0.9048,0.49922754358861177,0.453034247947126
