,Model,Optimizer,LR,Dropout,F1,Accuracy,Recall,Precision
0,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.1,0.4181820864547075,0.4470138749245928,0.4308560526706023,0.41531094865053336
1,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.25,0.4037511709918247,0.4371606676050674,0.4174491847840788,0.4022310756551006
2,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.5,0.20815171393435455,0.3014277096320129,0.27831427238569767,0.2907162300975097
3,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.75,0.11991100835622681,0.19404785843555197,0.20843018058272939,0.2416189364450875
4,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,1.0,0.09528050417139775,0.22360748039412828,0.1835891569314724,0.11037801511261194
5,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.1,0.47745969011657674,0.5025135732957973,0.48524869113840075,0.47483306386378465
6,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.25,0.462672107038852,0.4874321335210135,0.47171065820855607,0.4597155660501667
7,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.5,0.3403260046856743,0.38548160064347475,0.371941645085169,0.3512747189203796
8,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.75,0.09644755970087511,0.1769555600241303,0.1952836556399768,0.10404326555826024
9,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,1.0,0.09609211911648483,0.22380856625779208,0.1839326616157792,0.11096669794280903
10,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.1,0.4790069554119324,0.4982907701588578,0.48490752525631253,0.4775843858713037
11,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.25,0.46275454965181384,0.48562236074803944,0.46702534647269117,0.4603636803111229
12,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.5,0.3807685355201845,0.426302030967223,0.3986921470753842,0.3802187651175397
13,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.75,0.09349627001890606,0.14659159461089885,0.20412768558010724,0.09139502774200392
14,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,1.0,0.0968440367039134,0.22400965212145585,0.18427616630008606,0.14469371805295567
15,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.1,0.4738338551345899,0.49044842147597023,0.47905771054672996,0.4760161085637414
16,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.25,0.462956287944485,0.4868288759300221,0.47211050276703814,0.46025166230716213
17,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.5,0.37745057593955217,0.4301226623768349,0.4033618973855426,0.3770124861014461
18,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.75,0.04342364973981698,0.12165694751658958,0.2,0.024355877616747183
19,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,1.0,0.0979208371899775,0.22320530866680072,0.18399387033752038,0.17848488209950947
20,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.1,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
21,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.25,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
22,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.5,0.06347487734731856,0.1886185401166298,0.2,0.03772370802332596
23,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.75,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
24,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,1.0,0.0987895548604576,0.21355318721093908,0.17766249577726714,0.07671479481244718
25,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.1,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
26,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.25,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
27,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.5,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
28,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.75,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
29,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,1.0,0.09980832272222373,0.21013472752865472,0.1757804112021995,0.07683573634747135
30,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.1,0.477453299280974,0.4894429921576513,0.4780435576547101,0.4828948855896904
31,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.25,0.45856374512299586,0.4723506937462296,0.45878296472719005,0.46309602532452504
32,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.5,0.38571705103374965,0.40317715664588777,0.38835563937036877,0.3968146871392257
33,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.75,0.11315601197247656,0.19967826261813795,0.20834678432832493,0.2549462328227956
34,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,1.0,0.09801542722995113,0.22300422280313695,0.1838778078979347,0.17850982485532763
35,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.1,0.4926280929205345,0.5051276895234265,0.49376968079684447,0.49618810568999017
36,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.25,0.47377280996379545,0.4898451638849789,0.47449737608495274,0.47639310551096087
37,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.5,0.4096742083227326,0.43494872310476573,0.40830549419486967,0.4214738573043376
38,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.75,0.1099773850886308,0.21093907098330988,0.21153275192300908,0.24312420215451266
39,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,1.0,0.09850302506899382,0.2211944500301629,0.18274226904377538,0.17860109374558403
