,Model,Optimizer,LR,Dropout,F1,Accuracy,Recall,Precision
0,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.1,0.8186690400775518,0.8235587721487397,0.829645008669231,0.8152937379214018
1,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.25,0.8218819166763878,0.8273022211130522,0.8311142539411334,0.8181296798437251
2,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.5,0.7053187557513312,0.7080109807836287,0.7243066193365935,0.7127748810755272
3,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,0.75,0.5456636592351374,0.5460444222610432,0.5694758902795196,0.5678103945953772
4,google/bert_uncased_L-4_H-256_A-4,AdamW,1e-05,1.0,0.3228778891478055,0.6311454953830796,0.35787248234591074,0.4131615615331932
5,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.1,0.8607266329081074,0.8652358372847517,0.8698313392699328,0.8563169893100925
6,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.25,0.8447460433145805,0.8500124781632143,0.8527293348259,0.8406294021395955
7,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.5,0.8099071450217272,0.8230596456201648,0.80513588809117,0.8168172768906841
8,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,0.75,0.29883363101582733,0.39630646368854505,0.5088892495223506,0.6742608614946737
9,google/bert_uncased_L-4_H-256_A-4,AdamW,3e-05,1.0,0.48484695395622995,0.6316446219116546,0.5373356896667817,0.618621568545523
10,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.1,0.8671059050047619,0.8717244821562266,0.8751073132959069,0.8627073727151806
11,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.25,0.8535988308366826,0.8592463189418518,0.8595107197565882,0.8498078010753927
12,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.5,0.8367962918137046,0.8465185924631894,0.8345059327419179,0.8394836002077836
13,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,0.75,0.278018018018018,0.38507611679560766,0.5,0.19253805839780383
14,google/bert_uncased_L-4_H-256_A-4,AdamW,5e-05,1.0,0.48484695395622995,0.6316446219116546,0.5373356896667817,0.618621568545523
15,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.1,0.855015155462376,0.8602445719990017,0.8621392379493482,0.8509013913355516
16,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.25,0.8521385425891863,0.8572498128275517,0.8599464169984261,0.8479465923837651
17,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.5,0.8491222394177791,0.8567506862989768,0.8499719354689381,0.8483210086356654
18,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,0.75,0.278018018018018,0.38507611679560766,0.5,0.19253805839780383
19,google/bert_uncased_L-4_H-256_A-4,AdamW,0.0001,1.0,0.48484695395622995,0.6316446219116546,0.5373356896667817,0.618621568545523
20,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.1,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
21,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.25,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
22,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.5,0.278018018018018,0.38507611679560766,0.5,0.19253805839780383
23,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,0.75,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
24,google/bert_uncased_L-4_H-256_A-4,AdamW,0.001,1.0,0.4873532580784229,0.6313950586473671,0.5379806215333597,0.6158187490976756
25,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.1,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
26,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.25,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
27,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.5,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
28,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,0.75,0.38077576881471176,0.6149238832043923,0.5,0.30746194160219614
29,google/bert_uncased_L-4_H-256_A-4,AdamW,0.005,1.0,0.4632534463420459,0.6288994260044921,0.5291685691981382,0.6236285174722582
30,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.1,0.8490861147454418,0.8527576740703768,0.8624710411914722,0.8456518914699751
31,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.25,0.8372153690493225,0.841277763913152,0.8498663318211277,0.8338578143573103
32,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.5,0.7874332005205777,0.7916146743199401,0.8017330308220619,0.7865278704002038
33,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,0.75,0.491520926583914,0.5058647367107562,0.5748377412444976,0.6042541926359103
34,google/bert_uncased_L-4_H-256_A-4,Madgrad,1e-05,1.0,0.48221501107551,0.6311454953830796,0.5362031135585089,0.6183532820856764
35,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.1,0.8586559835764003,0.8624906413775892,0.8706272462145761,0.8545626151800658
36,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.25,0.8467152005265014,0.8507611679560768,0.858788590702881,0.8429342221502659
37,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.5,0.8220268752025133,0.8275517843773397,0.8309538100428411,0.8182480040427524
38,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,0.75,0.5100600534394012,0.518342899925131,0.5788066235449579,0.598214162790469
39,google/bert_uncased_L-4_H-256_A-4,Madgrad,3e-05,1.0,0.4823707844344744,0.6313950586473671,0.536406035636431,0.6193633677761853
40,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.1,0.8709716907865592,0.8754679311205391,0.8789989984092382,0.866523916938583
41,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.25,0.8499201656613833,0.8542550536561018,0.8606605238572186,0.8457953211183157
42,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.5,0.8374754682806564,0.844771649613177,0.8404739197128213,0.8350863818507512
43,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.75,0.45946559520738683,0.4883953082106314,0.5717764190605247,0.6306411260517719
44,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,1.0,0.4808882151563028,0.6308959321187921,0.5356368255043724,0.6182209638154738
45,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.1,0.8803976837684703,0.8852008984277514,0.8859439835116277,0.8765592015409939
46,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.25,0.8634489046004776,0.8679810331919141,0.8721846041191472,0.8590182326909699
47,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.5,0.8427907506825771,0.8505116046917893,0.8441721515684575,0.8415396935104311
48,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.75,0.2786682883863325,0.38507611679560766,0.49975775601585715,0.44248063952035976
49,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,1.0,0.4777515236083768,0.6296481157973546,0.5338954831623335,0.6148245764101248
50,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.1,0.8483914218014764,0.8535063638632393,0.8565392198533806,0.8442118964620611
